Map key,Community Area,Total Population,ACS Black or African American (%),ACS Hispanic or Latino (%),ACS White non-Hispanic (%),ACS Asian (%)
ALBANY PARK,ALBANY PARK,47830,4.658164332009199,44.13129834831695,33.692243361906755,14.894417729458498
ARCHER HEIGHTS,ARCHER HEIGHTS,13875,0.07207207207207207,79.97837837837838,14.724324324324325,4.8936936936936934
ARMOUR SQUARE,ARMOUR SQUARE,13149,11.308844779070652,4.296904707582326,16.92904403376683,63.8983953152331
ASHBURN,ASHBURN,42842,42.30428084589889,46.48942626394659,8.809112553102096,1.017692918164418
AUBURN GRESHAM,AUBURN GRESHAM,46483,93.39758621431491,3.392638168792892,1.056300152744014,0.8583783318632618
AUSTIN,AUSTIN,100278,73.39795368874529,19.536688007339595,5.371068429765253,0.676120385328786
AVALON PARK,AVALON PARK,9492,94.01601348504003,0.5056890012642226,0.28445006321112515,0.6847871892119679
AVONDALE,AVONDALE,36350,2.5502063273727646,51.18569463548831,37.738651994497936,4.814305364511692
BELMONT CRAGIN,BELMONT CRAGIN,73988,4.554792669081473,77.73017246039899,14.572633400010812,2.6206952478780345
BEVERLY,BEVERLY,19811,33.67321185200141,7.011256372722224,55.39346827520064,0.8883953359244865
BRIDGEPORT,BRIDGEPORT,33012,3.0019386889615896,20.83787713558706,34.332969829153036,40.08845268387253
BRIGHTON PARK,BRIGHTON PARK,42360,2.211992445703494,79.75684608120869,7.537771482530689,10.365911237016052
BURNSIDE,BURNSIDE,2229,90.04037685060565,4.8452220726783315,1.794526693584567,0.0
CALUMET HEIGHTS,CALUMET HEIGHTS,12078,94.96605398244743,4.123199205166419,0.23182646133465806,0.1407517800960424
CHATHAM,CHATHAM,31440,94.51017811704835,2.490458015267176,1.0687022900763359,0.3530534351145038
CHICAGO LAWN,CHICAGO LAWN,52245,37.62656713561106,58.20078476409226,2.187769164513351,0.5206239831562829
CLEARING,CLEARING,24710,1.9668150546337515,60.18615944961554,36.14730878186968,0.7203561311210037
DOUGLAS,DOUGLAS,18629,66.56288582317892,7.601052123033979,10.961404262171882,10.768157174298137
