Place,2019,2020,2021,2022,2023
Albany Park,5,6,13,9,18
Archer Heights,No data,No data,No data,0,No data
Armour Square,0,No data,No data,0,No data
Ashburn,5,No data,No data,7,9
Auburn Gresham,12,17,9,16,16
Austin,28,32,30,35,19
Avalon Park,No data,No data,0,No data,5
Avondale,5,No data,6,No data,7
Belmont Cragin,14,8,6,19,17
Beverly,No data,0,No data,0,0
Bridgeport,No data,No data,No data,No data,0
Brighton Park,8,No data,No data,No data,5
Burnside,No data,No data,No data,No data,5
Calumet Heights,No data,No data,No data,No data,No data
Chatham,15,17,11,5,12
Chicago Lawn,13,18,11,9,13
Clearing,0,No data,No data,No data,0
Douglas,6,No data,6,7,15
Dunning,No data,No data,0,No data,6
East Garfield Park,6,No data,8,7,12
East Side,No data,No data,0,No data,No data
Edgewater,23,11,19,22,35
Edison Park,0,0,0,No data,0
Englewood,15,11,12,9,10
Forest Glen,0,0,0,No data,0
Fuller Park,No data,No data,0,0,0
Gage Park,No data,6,No data,5,5
Garfield Ridge,No data,6,No data,No data,No data
Grand Boulevard,14,13,12,9,10
Greater Grand Crossing,24,14,21,7,5
Hegewisch,0,0,No data,No data,No data
Hermosa,No data,No data,No data,8,10
Humboldt Park,18,7,8,22,20
Hyde Park,7,No data,No data,7,6
Irving Park,5,No data,6,13,5
Jefferson Park,No data,No data,No data,0,No data
Kenwood,8,No data,8,9,9
Lake View,21,21,33,27,25
Lincoln Park,6,No data,5,No data,7
Lincoln Square,No data,No data,6,6,8
Logan Square,8,10,8,No data,12
Loop,No data,No data,No data,5,26
Lower West Side,0,5,7,6,14
McKinley Park,No data,No data,No data,No data,No data
Montclare,No data,No data,No data,No data,No data
Morgan Park,5,7,No data,No data,No data
Mount Greenwood,0,0,0,0,No data
Near North Side,12,12,10,11,18
Near South Side,No data,No data,No data,No data,No data
Near West Side,23,17,14,18,25
New City,9,8,10,7,8
North Center,No data,0,No data,No data,6
North Lawndale,10,20,25,13,11
North Park,No data,0,No data,No data,No data
Norwood Park,No data,No data,No data,No data,No data
O'Hare,No data,0,No data,No data,5
Oakland,No data,No data,No data,No data,No data
Portage Park,10,6,9,No data,7
Pullman,No data,8,0,0,No data
Riverdale,No data,0,No data,No data,No data
Rogers Park,15,22,24,22,29
Roseland,19,10,17,14,24
South Chicago,7,10,11,5,11
South Deering,No data,No data,No data,No data,7
South Lawndale,16,12,8,11,18
South Shore,29,25,39,21,32
Uptown,33,35,24,27,49
Washington Heights,13,9,6,6,10
Washington Park,10,11,6,No data,7
West Elsdon,No data,No data,No data,6,No data
West Englewood,15,14,15,13,17
West Garfield Park,7,5,No data,No data,9
West Lawn,No data,No data,No data,6,No data
West Pullman,12,8,12,7,12
