Category,Indicator,Field,Source,2019,n_2019,2020,n_2020,2021,n_2021,2022,n_2022,2023,n_2023
Economic factors,Unemployment rate (%),UMP_2020-2024,Chicago Health Atlas Data Download - Community areas (12).xlsx,0.2050545349588583,49,0.1467214638067354,45,0.1073442565830579,47,-0.1222015392931645,48,-0.0855858077622236,58
Economic factors,Hardship index,HDX_2020-2024,Chicago Health Atlas Data Download - Community areas (12).xlsx,0.1336727192823611,49,0.1600298375571416,45,0.06549716856219745,47,-0.1141820917405201,48,-0.05111669594014183,58
Economic factors,Poverty rate (%),POV_2020-2024,Chicago Health Atlas Data Download - Community areas (12).xlsx,0.2887613617374946,49,0.2297414935253235,45,0.1342004604773361,47,0.03166832688160204,48,0.04738677809227883,58
Economic factors,Median household income,INC_2020-2024,Chicago Health Atlas Data Download - Community areas (12).xlsx,-0.2360978058086997,49,-0.2818558853112556,45,-0.1592289598935406,47,0.01362798480808063,48,-0.07739063935968821,58
Economic factors,Per capita income,PCI_2020-2024,Chicago Health Atlas Data Download - Community areas (12).xlsx,-0.05243106162759099,49,-0.06089140394361358,45,-0.00334181303715168,47,0.1281037600184082,48,0.1045900470580873,58
Healthcare access,Uninsured rate (%),UNS_2020-2024,Chicago Health Atlas Data Download - Community areas (6).xlsx,0.1734616856172222,49,0.1809152647071293,45,0.1735258203484431,47,0.1628770827906527,48,0.1925871690324502,58
Healthcare access,Preventive care: routine checkup (%),HCSRCP_2023-2024,Chicago Health Atlas Data Download - Community areas (6).xlsx,0.05473912754663415,49,-0.07444578764263762,45,-0.06686901467024285,47,-0.04403131567766837,48,-0.123769709683379,58
Healthcare access,Primary care provider (%),HCSPCPP_2023-2024,Chicago Health Atlas Data Download - Community areas (6).xlsx,-0.179244026701417,49,-0.3299703141885962,45,-0.1296411322364996,47,-0.1732396777156583,48,-0.1287366761719384,58
Housing & neighborhood,Overcrowded housing (%),HTJ_2020-2024,Chicago Health Atlas Data Download - Community areas (7).xlsx,0.07009202438170278,49,0.02813601097083051,45,0.1340282100231512,47,-0.006497350243844743,48,0.1623613260790439,58
Housing & neighborhood,Eviction rate (%),EVR_2018,Chicago Health Atlas Data Download - Community areas (7).xlsx,0.1560299361352689,49,0.1644148005149127,45,0.2878597063128234,47,0.08406932312171066,48,0.04036192233082813,58
Housing & neighborhood,Rent-burdened households (%),RBU_2020-2024,Chicago Health Atlas Data Download - Community areas (7).xlsx,0.2416175255825608,49,0.3650427047983089,45,0.2189396490479527,47,0.005337303480886606,48,0.0968275612419371,58
Housing & neighborhood,Environmental justice impact (%),CHAVCNN_2023,Chicago Health Atlas Data Download - Community areas (8).xlsx,0.1351770118229867,49,0.1649530546559271,45,0.02543925648468501,47,-0.1453678651893252,48,-0.1376530225693164,58
Housing & neighborhood,PM2.5 concentration,PMC_2020,Chicago Health Atlas Data Download - Community areas (8).xlsx,-0.1729114784246777,49,-0.152179621477897,45,-0.158436961393311,47,-0.4586744666753437,48,-0.3682550832220368,58
Behavioral risk factors,Smoking prevalence (%),HCSSMKP_2023-2024,Chicago Health Atlas Data Download - Community areas (13).xlsx,0.1041041351750071,47,0.1990531621471695,43,0.07199596493405432,44,0.0456353523962966,45,-0.006171849840292224,54
Behavioral risk factors,Physical inactivity (%),HCSPAP_2023-2024,Chicago Health Atlas Data Download - Community areas (12).xlsx,0.1515710446087225,49,0.2364386641487282,45,0.1009359014732369,47,-0.01179496062805769,48,-0.03088327512083307,58
Behavioral risk factors,Obesity rate (%),HCSOBP_2023-2024,Chicago Health Atlas Data Download - Community areas (10).xlsx,0.1568654266771219,49,0.07150739157755419,45,-0.01625006802768991,47,-0.03719233690038586,48,-0.1263679595568714,58
