Map key,Name,GEOID,HIV cases 2019,HIV cases 2020,HIV cases 2021,HIV cases 2022,HIV cases 2023,Unemployment rate (%),Hardship index,Poverty rate (%),Median household income,Per capita income,Uninsured rate (%),Preventive care: routine checkup (%),Primary care provider (%),Overcrowded housing (%),Eviction rate (%),Rent-burdened households (%),Environmental justice impact (%),PM2.5 concentration,Smoking prevalence (%),Physical inactivity (%),Obesity rate (%)
ROGERS PARK,Rogers Park,1,15.0,22.0,24.0,22.0,29.0,7.062080766732763,52.92470369529401,17.47696468954671,63293.40698066556,40324.95726806083,13.73767246223366,61.814514182,73.686966865,4.62902406119497,0.5869161573073937,47.85032855702174,0.0,8.664522759815895,12.813936759,28.643760564,29.621429724
NORWOOD PARK,Norwood Park,10,,,,,,4.293920714614606,30.50422292942487,5.366861420925904,114149.65984846,52389.36930003792,3.445159327457556,87.643602191,88.486243956,1.350792998817552,0.4001325322955745,41.17666218132518,0.0,9.004154815334369,4.9037303174,27.945806489,22.483415622
JEFFERSON PARK,Jefferson Park,11,,,,0.0,,5.153657456907196,30.91804574579658,5.58079121711678,97374.54676004623,49676.47738960594,6.325282915442945,71.996947265,77.95192877,2.471265331856028,0.5610073506358747,45.13017147300245,0.0,8.994515812531844,9.5521939476,23.675622839,29.114070578
FOREST GLEN,Forest Glen,12,0.0,0.0,0.0,,0.0,4.04950694833123,15.92976996167712,4.750916408479354,139311.0251771062,70943.73852893911,5.680226949314051,81.740413493,91.842750587,1.493238430522649,0.8898550211788571,35.81521769695222,0.0,8.906693833922677,,18.627435973,23.222620709
NORTH PARK,North Park,13,,0.0,,,,4.138091463114679,63.75576033647555,16.9376506916843,68716.37674567565,38549.46020346622,9.353706435596159,70.498270367,90.966624875,5.293248152637732,0.3113183376751552,41.48331962610962,0.0,8.908190318938928,8.4915725884,16.404830071,27.881574183
ALBANY PARK,Albany Park,14,5.0,6.0,13.0,9.0,18.0,6.954590074305177,57.55080244474001,11.9896188772753,87083.51175687861,43335.09060296298,19.25551713953562,83.437610368,85.529244324,3.992584788732052,0.5112470291432398,39.27352906075649,0.0,8.970502350092325,10.688439261,28.683943453,29.571025639
PORTAGE PARK,Portage Park,15,10.0,6.0,9.0,,7.0,4.875971632738101,46.91842828063879,10.7544377128132,92328.88122555522,43196.38256380161,11.60393909216896,72.444896428,84.782465072,3.335124523199203,0.6273990663594018,45.25157236339088,0.0,9.08838752964843,4.4233576458,32.011371734,46.674159207
IRVING PARK,Irving Park,16,5.0,,6.0,13.0,5.0,6.57176191898947,41.09838533241461,10.71224587049199,93122.02124928293,54919.94076035927,9.041553558260285,68.000679361,70.159617495,2.921327965719506,0.6080409471635476,40.742602209073,7.510650632,9.029941029931805,7.9630651491,28.72429838,29.290471157
DUNNING,Dunning,17,,,0.0,,6.0,5.32639216445607,47.14230675643302,9.001393344336929,88162.72773993322,43120.50938057176,8.686746917429474,85.156456214,88.397949127,2.967245841195755,0.5047144973236669,41.53666503387799,0.0,9.169997398774296,3.2002258178,29.319988833,36.964782465
MONTCLARE,Montclare,18,,,,,,6.036684040362003,71.00501997849919,14.59881421725041,73308.6421283585,31233.73288468904,8.975400834726997,73.91400875,89.436237274,3.947452487204883,1.022917840132386,52.78422368839395,0.0,9.227691777187314,3.9004226755,40.862540481,46.652645265
