Category,Indicator,Field,Source,Analyst note,2019,n_2019,2020,n_2020,2021,n_2021,2022,n_2022,2023,n_2023,Average absolute correlation,Direction
Structural poverty & opportunity,Incarceration / drug use / legal involvement,CHAIDUL_2019-2023,Chicago Health Atlas,Composite structural/legal involvement proxy,0.6347733669815108,49,0.67411001247731,45,0.6216576552862043,47,0.6779288398773704,48,0.43913180237626454,58,0.609520335399732,Positive
Structural poverty & opportunity,Child poverty / community resource indicator,CHACPCR_2023-2024,Chicago Health Atlas,Child poverty/resource proxy,0.5561490975191583,48,0.6276596548270489,43,0.5813737232146681,46,0.7703482872712769,48,0.5116982270593171,56,0.6094457979782939,Positive
Structural poverty & opportunity,Youth poverty / vulnerability index,CHAPVUY_2023-2024,Chicago Health Atlas,Youth poverty/vulnerability proxy,0.5680851047373077,49,0.6362435250947241,45,0.5484547806710772,47,0.7344106768244567,48,0.4829805608479404,58,0.5940349296351012,Positive
Structural poverty & opportunity,Racial / income poverty zone indicator,CHARIPZ_2023-2024,Chicago Health Atlas,Structural inequity proxy,0.35587549156875764,49,0.39225138934629994,45,0.38811593330128524,47,0.6036488965343658,48,0.4674215157249304,58,0.44146264529512785,Positive
Structural poverty & opportunity,Low-access / food access index,LAI_2012-2016,Chicago Health Atlas,Food access / neighborhood access proxy,-0.36305499101382815,49,-0.5669732354261555,45,-0.42280270521228847,47,-0.3051795481713258,48,-0.33009601794876253,58,0.39762129955447206,Negative
Substance use & mental health,Alcohol / drug problem prevalence,HCSAPDP_2023-2024,Chicago Health Atlas,Rate measure preferred over count,0.06834997517337417,49,0.33911747163662187,45,0.27441082651783383,47,0.40623516694506057,48,0.38817032827980275,58,0.29525675371053867,Positive
Substance use & mental health,Unmet mental health need - stress/symptoms,HCSUMHSP_2023-2024,Chicago Health Atlas,Rate measure preferred over count,-0.07255707719374266,46,0.07072259792003563,40,-0.13167264385409594,43,-0.11387659353007602,44,-0.3543489581228867,50,0.1486355741241674,Negative
Substance use & mental health,Alcohol-induced mortality rate,VRALR_2020-2024,Chicago Health Atlas,Mortality rate,0.20868279240080198,49,0.25389646205324706,45,0.15514358871052708,47,0.0196323466156751,48,0.07638274884376811,58,0.14274758772480384,Positive
Substance use & mental health,Recreational / illicit drug use prevalence,HCSRIP_2023-2024,Chicago Health Atlas,Rate measure preferred over count,-0.15870259839009332,49,-0.18565677237419087,45,-0.031027451889353214,47,0.030904544329872816,48,0.07097643450271679,58,0.09545356029724542,Negative
Substance use & mental health,Binge drinking / alcohol behavior prevalence,HCSBCP_2023-2024,Chicago Health Atlas,Rate measure preferred over count,0.14389999873524276,49,-0.016235075823638718,45,-0.12384104406732795,47,0.026201296214189766,48,0.040188106374633624,58,0.07007310424300656,Positive
Substance use & mental health,Unmet mental health need - adults,HCSUMHAP_2023-2024,Chicago Health Atlas,Rate measure preferred over count,-0.01987891064722586,49,0.03617465331676096,45,-0.031316264235459926,47,-0.12643013099619155,48,-0.12127165117002939,58,0.06701432207313354,Negative
Access & clinical context,ZIP code quality / clinical care index,CHAZQCC_2023-2024,Chicago Health Atlas,Clinical care quality/access proxy,0.4494581703146229,48,0.44779338195359203,45,0.3595622519230744,47,0.6009750201398196,47,0.2613148688632867,57,0.42382073863887915,Positive
Access & clinical context,Primary care provider access prevalence,HCSPCPP_2023-2024,Chicago Health Atlas,Rate measure preferred over count,-0.17924402670141712,49,-0.3299703141885962,45,-0.1296411322364996,47,-0.1732396777156584,48,-0.12873667617193843,58,0.18816636540282192,Negative
Access & clinical context,Health coverage / insurance prevalence,HCSHCP_2023-2024,Chicago Health Atlas,Rate measure preferred over count,-0.0624569301048353,49,-0.22236486632268643,45,-0.10772391987624468,47,-0.1096486842073195,48,-0.26852225320734535,58,0.15414333074368625,Negative
Access & clinical context,No checkup / preventive care avoidance,HCSNCP_2023-2024,Chicago Health Atlas,Rate measure preferred over count,-0.16169625622357056,49,-0.21224246543653547,45,0.017258765163837717,47,-0.09207581905252367,48,-0.14520471446648275,58,0.12569560406859,Negative
Access & clinical context,Routine checkup / preventive care prevalence,HCSRCP_2023-2024,Chicago Health Atlas,Rate measure preferred over count,0.05473912754663415,49,-0.07444578764263764,45,-0.06686901467024288,47,-0.044031315677668374,48,-0.123769709683379,58,0.0727709910441124,Negative
Community stress & safety,Crime - Battery,CZB_2021-2025,Chicago Health Atlas,"Crime count; use as community safety/enforcement proxy, not direct cause",0.6933248194873868,49,0.6841791430248153,45,0.7127045132853456,47,0.6625934168995357,48,0.4919511122432067,58,0.6489506009880579,Positive
Community stress & safety,Juvenile / youth behavioral indicator,CHAJVUB_2023-2024,Chicago Health Atlas,Youth behavioral/community stress proxy,0.570657093878766,49,0.6066996060199376,45,0.5594403394115688,47,0.7895994370497963,48,0.6936087017086673,58,0.6440010356137472,Positive
Community stress & safety,Youth juvenile court / community outcomes,CHAYJCO_2022-2024,Chicago Health Atlas,Youth justice/community stress proxy,0.564345458916157,21,0.7838817468757356,20,0.6797651578060517,22,0.7254825901800528,20,0.37820350496891625,25,0.6263356917493825,Positive
Community stress & safety,Crime - Murder / Manslaughter,CZM_2021-2025,Chicago Health Atlas,Crime count; use as severe community violence proxy,0.6563901070013224,49,0.679462727908941,45,0.6412710907027388,47,0.6052164291147054,48,0.5437023948042241,58,0.6252085499063863,Positive
Community stress & safety,Crime - Robbery,CZR_2021-2025,Chicago Health Atlas,Crime count; use as community safety/enforcement proxy,0.617498733546911,49,0.6484501637156468,45,0.6141296054180614,47,0.6029783482103096,48,0.4407855974796956,58,0.5847684896741249,Positive
Health & environment,Environmental air quality / pollution,EVC_2018,Chicago Health Atlas,Environmental exposure proxy,0.629491227192665,49,0.6996645976431753,45,0.705456934461667,47,0.5387993528957087,48,0.44242705570347235,58,0.6031678335793378,Positive
Health & environment,Social wellbeing / youth wellness,CHASWYW_2023-2024,Chicago Health Atlas,Youth wellness/social wellbeing proxy,0.44739900546506123,49,0.45712185619376977,45,0.4414072479985927,47,0.6521735334900789,48,0.5096347881233328,58,0.5015472862541671,Positive
Health & environment,Obesity prevalence,HCSOBP_2023-2024,Chicago Health Atlas,Rate measure preferred over count,0.1568654266771219,49,0.07150739157755417,45,-0.01625006802768991,47,-0.03719233690038588,48,-0.12636795955687138,58,0.08163663654792466,Positive
