Category,Indicator,Field,Source,Analyst note,2019,n_2019,2020,n_2020,2021,n_2021,2022,n_2022,2023,n_2023,Average absolute correlation,Direction
Structural inequity & race,Social Engagement Index,SGX_2020-2024,Chicago Health Atlas,Civic/social isolation and built environment,-0.31181649336883555,49,-0.41075511492186095,45,-0.25209617534127216,47,-0.11324694220007574,48,-0.17689934318515757,58,0.25296281380344043,Negative
Structural inequity & race,Black or African American residents (%),ACS Black or African American (%),"City of Chicago ACS 5-Year Data by Community Area, 2023","Race concentration proxy; reflects segregation and structural context, not individual causation",0.3111750513644735,49,0.3037161236811964,45,0.18664249858100374,47,0.02642672291181697,48,0.0020522833412555896,58,0.16600253597594922,Positive
Structural inequity & race,Hispanic or Latino residents (%),ACS Hispanic or Latino (%),"City of Chicago ACS 5-Year Data by Community Area, 2023","Ethnicity concentration proxy; structural context, not individual causation",-0.20080877072080044,49,-0.14300256652795534,45,-0.1969909529435076,47,-0.08985080417520494,48,-0.10032977779507087,58,0.14619657443250783,Negative
Structural inequity & race,White non-Hispanic residents (%),ACS White non-Hispanic (%),"City of Chicago ACS 5-Year Data by Community Area, 2023",Race/segregation proxy; negative correlation can indicate concentration in non-white/disinvested areas,-0.2051222788405236,49,-0.270488208955264,45,-0.0999742626185317,47,0.10014946760524972,48,0.04210642325615658,58,0.1435681282551451,Negative
Structural inequity & race,Child Opportunity Index,CHACFZN_2023,Chicago Health Atlas,Childhood opportunity / structural investment,-0.18152550517491003,49,-0.2185226446303576,45,-0.10721294957250302,47,0.036394032362801476,48,0.039012563794581095,58,0.11653353910703064,Negative
Education & opportunity,Arts education access and quality (%),CHACSJY_2023-2024,Chicago Health Atlas,CPS arts education access/quality,0.14111774222179538,49,0.08038892658184003,45,0.13157299328873978,47,0.187592002051394,48,0.20868116114325921,58,0.14987056505740567,Positive
Education & opportunity,Child Opportunity Index - education domain,CHALYRO_2023,Chicago Health Atlas,Neighborhood education opportunity for children,-0.2371518078022831,49,-0.2583140161790652,45,-0.13503456245103732,47,-0.012310854092190408,48,0.0387159677707458,58,0.13630544165906439,Negative
Education & opportunity,College graduation rate (%),EDE_2020-2024,Chicago Health Atlas,Adult educational attainment,-0.017190183559640825,49,-0.02718557104688476,45,0.02905934520470604,47,0.16404109334029035,48,0.18040933581062252,58,0.0835771057924289,Positive
Education & opportunity,High school graduation rate (%),EDB_2020-2024,Chicago Health Atlas,Adult educational attainment,0.025907812192592944,49,-0.06572126693319363,45,0.03475121290953191,47,0.1517607620321196,48,0.09130728536658031,58,0.07388966788680366,Positive
Education & opportunity,Preschool enrollment (%),EDG-X341_2020-2024,Chicago Health Atlas,Early education access,-0.10727925913350755,49,-0.08054219976277943,45,-0.11808139154739522,47,-0.016905878144370966,48,-0.02159549469718817,58,0.06888084465704827,Negative
Housing & neighborhood,Owner occupied housing (%),HUO_2020-2024,Chicago Health Atlas,Housing stability / ownership,-0.41651967707553045,49,-0.4810289041180603,45,-0.4782345842299322,47,-0.37645058177023705,48,-0.4486476331211307,58,0.4401762760629782,Negative
Housing & neighborhood,PM2.5 concentration,PMC_2020,Chicago Health Atlas,Environmental exposure,-0.17291147842467772,49,-0.15217962147789707,45,-0.15843696139331095,47,-0.45867446667534345,48,-0.3682550832220366,58,0.2620915222386532,Negative
Housing & neighborhood,Rent-burdened households (%),RBU_2020-2024,Chicago Health Atlas,Housing affordability stress,0.2416175255825611,49,0.36504270479830897,45,0.21893964904795268,47,0.005337303480886613,48,0.09682756124193707,58,0.1855529488303293,Positive
Housing & neighborhood,Social Vulnerability Index,SVI_2022,Chicago Health Atlas,Neighborhood vulnerability,0.2143515209751637,49,0.3027688169073653,45,0.19911131364514084,47,0.06235585113671098,48,0.10822974775665542,58,0.17736345008420723,Positive
Housing & neighborhood,Severely rent-burdened households (%),RBS_2020-2024,Chicago Health Atlas,Severe housing affordability stress,0.17297104573018895,49,0.22506425000272046,45,0.09981175731933009,47,0.12293635823741812,48,0.00907877348581335,58,0.1259724369550942,Positive
Healthcare access,Primary care provider access (%),HCSPCPP_2023-2024,Chicago Health Atlas,Routine access to care,-0.17924402670141712,49,-0.3299703141885962,45,-0.1296411322364996,47,-0.1732396777156584,48,-0.12873667617193843,58,0.18816636540282192,Negative
Healthcare access,Uninsured rate (%),UNS_2020-2024,Chicago Health Atlas,Coverage barrier,0.17346168561722228,49,0.18091526470712932,45,0.17352582034844308,47,0.1628770827906527,48,0.19258716903245018,58,0.1766734044991795,Positive
Healthcare access,Primary care physicians per capita,PPC_2011,Chicago Health Atlas,Provider supply,0.12970477318586426,49,0.20188922928086775,45,0.11482657816922298,47,0.06309131227381153,48,0.20643754843008427,58,0.14318988826797016,Positive
Healthcare access,Preventive care routine checkup (%),HCSRCP_2023-2024,Chicago Health Atlas,Prevention engagement,0.05473912754663415,49,-0.07444578764263764,45,-0.06686901467024288,47,-0.044031315677668374,48,-0.123769709683379,58,0.0727709910441124,Negative
Economic factors,Food insecurity (%),FAI_2020,Chicago Health Atlas,Material hardship and basic needs,0.30319629504605433,49,0.29855478877916464,45,0.21273807077731302,47,0.0038675848649316054,48,0.06119859558333607,58,0.1759110670101599,Positive
Economic factors,Median household income,INC_2020-2024,Chicago Health Atlas,Income resources,-0.23609780580869966,49,-0.28185588531125555,45,-0.15922895989354066,47,0.013627984808080643,48,-0.07739063935968818,58,0.15364025503625295,Negative
Economic factors,Poverty rate (%),POV_2020-2024,Chicago Health Atlas,Material hardship,0.2887613617374947,49,0.2297414935253235,45,0.13420046047733605,47,0.03166832688160207,48,0.047386778092278814,58,0.14635168414280703,Positive
Economic factors,Unemployment rate (%),UMP_2020-2024,Chicago Health Atlas,Job access and labor-market exclusion,0.20505453495885823,49,0.14672146380673542,45,0.10734425658305792,47,-0.12220153929316464,48,-0.08558580776222356,58,0.13338152048080795,Positive
Economic factors,Area Deprivation Index,ADI_2023,Chicago Health Atlas,"Neighborhood deprivation including income, education, employment, and housing quality",0.21678422294370622,49,0.1574811849758568,45,0.09898744078890842,47,-0.10178035997228076,48,-0.0027034083279939766,58,0.11554732340174925,Positive
Behavioral & community risk,Drug abuse crimes,CZD_2021-2025,Chicago Health Atlas,"Drug-related enforcement proxy; count, interpret cautiously",0.2775297903121908,49,0.28888292509686536,45,0.3012193443493675,47,0.44808137195416964,48,0.18695356318609285,58,0.30053339897973724,Positive
Behavioral & community risk,Opioid overdose mortality rate,MEODR_2023,Chicago Health Atlas,Opioid mortality,0.2856928528481697,49,0.4208903665060999,45,0.15684442420109773,47,0.060538292463148964,48,-0.0068553944963854205,58,0.18616426610298037,Positive
Behavioral & community risk,Drug overdose mortality rate,VRDOR_2020-2024,Chicago Health Atlas,Drug-related mortality,0.2594153768146034,49,0.34273471903757574,45,0.199654091271211,47,0.09965473775572695,48,0.0029428194253211717,58,0.18088034886088766,Positive
Behavioral & community risk,Physical inactivity (%),HCSPAP_2023-2024,Chicago Health Atlas,Behavioral risk marker,0.1515710446087226,49,0.23643866414872827,45,0.10093590147323689,47,-0.011794960628057682,48,-0.03088327512083304,58,0.10632476919591569,Positive
Behavioral & community risk,Adult smoking rate (%),HCSSMKP_2023-2024,Chicago Health Atlas,Behavioral risk marker,0.10410413517500709,47,0.19905316214716945,43,0.07199596493405423,44,0.04563535239629661,45,-0.0061718498402922135,54,0.08539209289856393,Positive
Behavioral & community risk,Adult obesity rate (%),HCSOBP_2023-2024,Chicago Health Atlas,Behavioral risk marker,0.1568654266771219,49,0.07150739157755417,45,-0.01625006802768991,47,-0.03719233690038588,48,-0.12636795955687138,58,0.08163663654792466,Positive
